2020/11/04 20:14:06.797 [D] [value.go:475]  ---- 请求到达
2020/11/05 19:58:07.429 [C] [panic.go:969]  D:/GoWorks/FamilyDiary/models/permission.go:194
2020/11/05 19:58:07.431 [C] [panic.go:969]  D:/GoWorks/FamilyDiary/models/permission.go:177
2020/11/05 19:58:07.432 [C] [panic.go:969]  D:/GoWorks/FamilyDiary/controllers/permission.go:129
2020/11/05 19:58:07.433 [C] [panic.go:969]  D:/go/src/reflect/value.go:475
2020/11/05 19:58:07.434 [C] [panic.go:969]  D:/go/src/reflect/value.go:336
2020/11/05 19:58:07.434 [C] [panic.go:969]  D:/GoWorks/src/github.com/astaxie/beego/router.go:897
2020/11/05 19:58:07.435 [C] [panic.go:969]  D:/go/src/net/http/server.go:2843
2020/11/05 19:58:07.436 [C] [panic.go:969]  D:/go/src/net/http/server.go:1925
2020/11/05 19:58:07.436 [C] [panic.go:969]  D:/go/src/runtime/asm_amd64.s:1374
2020/11/05 19:58:51.638 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:58:51.647 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:58:51.652 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:58:51.655 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:58:51.655 [D] [permission.go:164]  ---- 开始获取数据库连接 ----
2020/11/05 19:58:51.658 [D] [permission.go:177]  ==== 检查开始 ====
2020/11/05 19:58:51.659 [C] [panic.go:969]  the request url is  /get/permissionsTree
2020/11/05 19:58:51.660 [C] [panic.go:969]  Handler crashed with error runtime error: index out of range [0] with length 0
2020/11/05 19:58:51.660 [C] [panic.go:969]  D:/go/src/runtime/panic.go:969
2020/11/05 19:58:51.660 [C] [panic.go:969]  D:/go/src/runtime/panic.go:88
2020/11/05 19:58:51.669 [C] [panic.go:969]  D:/GoWorks/FamilyDiary/models/permission.go:194
2020/11/05 19:58:51.669 [C] [panic.go:969]  D:/GoWorks/FamilyDiary/models/permission.go:177
2020/11/05 19:58:51.670 [C] [panic.go:969]  D:/GoWorks/FamilyDiary/controllers/permission.go:129
2020/11/05 19:58:51.670 [C] [panic.go:969]  D:/go/src/reflect/value.go:475
2020/11/05 19:58:51.670 [C] [panic.go:969]  D:/go/src/reflect/value.go:336
2020/11/05 19:58:51.671 [C] [panic.go:969]  D:/GoWorks/src/github.com/astaxie/beego/router.go:897
2020/11/05 19:58:51.671 [C] [panic.go:969]  D:/go/src/net/http/server.go:2843
2020/11/05 19:58:51.672 [C] [panic.go:969]  D:/go/src/net/http/server.go:1925
2020/11/05 19:58:51.672 [C] [panic.go:969]  D:/go/src/runtime/asm_amd64.s:1374
2020/11/05 20:03:33.569 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 20:03:33.570 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 20:03:33.570 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 20:03:33.576 [D] [storage.go:51]  ---- 开始获取配置文件信息redis信息 ----
2020/11/05 20:03:33.576 [D] [storage.go:51]  ---- host:192.168.189.128,port:6379,pwd:redis@wcj,maxIdle:10,maxActive:100 ----
2020/11/05 20:03:33.723 [D] [cache.go:10]  redis exec get failed,err:redigo: nil returned
2020/11/05 20:03:33.724 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|   154.5856ms|   match|[44m GET     [0m /get/permissionsTree   r:/get/permissionsTree
2020/11/05 20:03:38.160 [D] [login.go:82]  login username:admin,password:admin
2020/11/05 20:03:38.161 [D] [login.go:87]  ---- user login cache redis key1:login_admin_username
2020/11/05 20:03:38.162 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 20:03:38.168 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 20:03:38.169 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 20:03:38.172 [D] [cache.go:10]  redis exec get failed,err:redigo: nil returned
2020/11/05 20:03:38.172 [D] [login.go:13]  ---- 开始获取数据库连接 ----
2020/11/05 20:03:38.172 [D] [storage.go:123]  ---- 开始获取配置文件中DB信息 ----
2020/11/05 20:03:38.173 [D] [storage.go:123]  user:root,password:520wcj,dbname:family_diary,maxIdle:10,maxConn:30
2020/11/05 20:03:38.190 [D] [login.go:65]  query sql:select password from fd_user where username = ? and status = 0,query result:{"Id":0,"Username":"","Password":"21232f297a57a5a743894a0e4a801fc3","Head":"","Gender":"","Remark":"","CreateUser":"","UpdateUser":"","Status":"","CreateTime":"0001-01-01T00:00:00Z","UpdateTime":"0001-01-01T00:00:00Z"}
2020/11/05 20:03:38.191 [D] [cache.go:15]  ---- set redis starting ----
2020/11/05 20:03:38.191 [D] [cache.go:52]  ---- 开始获取redis连接 ----
2020/11/05 20:03:38.193 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 20:03:38.199 [D] [cache.go:15]  ---- get redis val:admin ----
2020/11/05 20:03:38.200 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|    39.8945ms|   match|[46m POST    [0m /user/login   r:/user/login
2020/11/05 20:03:39.929 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 20:03:39.930 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 20:03:39.930 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 20:03:39.932 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 20:03:39.938 [D] [permission.go:164]  ---- 开始获取数据库连接 ----
2020/11/05 20:03:39.943 [D] [permission.go:177]  ===== 开始检查 =====
2020/11/05 20:03:39.948 [D] [permission.go:177]  ===== 检查结束 =====
2020/11/05 20:03:39.952 [C] [panic.go:969]  the request url is  /get/permissionsTree
2020/11/05 20:03:39.952 [C] [panic.go:969]  Handler crashed with error runtime error: index out of range [0] with length 0
2020/11/05 20:03:39.953 [C] [panic.go:969]  D:/go/src/runtime/panic.go:969
2020/11/05 20:03:39.955 [C] [panic.go:969]  D:/go/src/runtime/panic.go:88
2020/11/05 20:03:39.955 [C] [panic.go:969]  D:/GoWorks/FamilyDiary/models/permission.go:215
2020/11/05 20:03:39.955 [C] [panic.go:969]  D:/GoWorks/FamilyDiary/models/permission.go:198
2020/11/05 20:03:39.957 [C] [panic.go:969]  D:/GoWorks/FamilyDiary/models/permission.go:177
2020/11/05 20:03:39.958 [C] [panic.go:969]  D:/GoWorks/FamilyDiary/controllers/permission.go:129
2020/11/05 20:03:39.959 [C] [panic.go:969]  D:/go/src/reflect/value.go:475
2020/11/05 20:03:39.960 [C] [panic.go:969]  D:/go/src/reflect/value.go:336
2020/11/05 20:03:39.965 [C] [panic.go:969]  D:/GoWorks/src/github.com/astaxie/beego/router.go:897
2020/11/05 20:03:39.967 [C] [panic.go:969]  D:/go/src/net/http/server.go:2843
2020/11/05 20:03:39.968 [C] [panic.go:969]  D:/go/src/net/http/server.go:1925
2020/11/05 20:03:39.968 [C] [panic.go:969]  D:/go/src/runtime/asm_amd64.s:1374
2020/11/05 20:04:19.146 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 20:04:19.147 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 20:04:19.148 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 20:04:19.151 [D] [storage.go:51]  ---- 开始获取配置文件信息redis信息 ----
2020/11/05 20:04:19.152 [D] [storage.go:51]  ---- host:192.168.189.128,port:6379,pwd:redis@wcj,maxIdle:10,maxActive:100 ----
2020/11/05 20:04:19.158 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 20:04:19.159 [D] [permission.go:163]  ---- 开始获取数据库连接 ----
2020/11/05 20:04:19.160 [D] [storage.go:123]  ---- 开始获取配置文件中DB信息 ----
2020/11/05 20:04:19.162 [D] [storage.go:123]  user:root,password:520wcj,dbname:family_diary,maxIdle:10,maxConn:30
2020/11/05 20:04:19.177 [D] [permission.go:194]  ===== 开始检查 =====
2020/11/05 20:04:19.178 [C] [panic.go:969]  the request url is  /get/permissionsTree
2020/11/05 20:04:19.178 [C] [panic.go:969]  Handler crashed with error runtime error: index out of range [0] with length 0
2020/11/05 20:04:19.179 [C] [panic.go:969]  D:/go/src/runtime/panic.go:969
2020/11/05 20:04:19.179 [C] [panic.go:969]  D:/go/src/runtime/panic.go:88
2020/11/05 20:04:19.179 [C] [panic.go:969]  D:/GoWorks/FamilyDiary/models/permission.go:213
2020/11/05 20:04:19.181 [C] [panic.go:969]  D:/GoWorks/FamilyDiary/models/permission.go:194
2020/11/05 20:04:19.182 [C] [panic.go:969]  D:/GoWorks/FamilyDiary/models/permission.go:176
2020/11/05 20:04:19.182 [C] [panic.go:969]  D:/GoWorks/FamilyDiary/controllers/permission.go:129
2020/11/05 20:04:19.190 [C] [panic.go:969]  D:/go/src/reflect/value.go:475
2020/11/05 20:04:19.191 [C] [panic.go:969]  D:/go/src/reflect/value.go:336
2020/11/05 20:04:19.191 [C] [panic.go:969]  D:/GoWorks/src/github.com/astaxie/beego/router.go:897
2020/11/05 20:04:19.193 [C] [panic.go:969]  D:/go/src/net/http/server.go:2843
2020/11/05 20:04:19.193 [C] [panic.go:969]  D:/go/src/net/http/server.go:1925
2020/11/05 20:04:19.193 [C] [panic.go:969]  D:/go/src/runtime/asm_amd64.s:1374
2020/11/05 20:04:50.528 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 20:04:50.530 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 20:04:50.531 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 20:04:50.549 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 20:04:50.554 [D] [permission.go:163]  ---- 开始获取数据库连接 ----
2020/11/05 20:04:50.568 [D] [permission.go:194]  ===== 开始检查 =====
2020/11/05 20:04:50.568 [C] [panic.go:969]  the request url is  /get/permissionsTree
2020/11/05 20:04:50.569 [C] [panic.go:969]  Handler crashed with error runtime error: index out of range [0] with length 0
2020/11/05 20:04:50.569 [C] [panic.go:969]  D:/go/src/runtime/panic.go:969
2020/11/05 20:04:50.569 [C] [panic.go:969]  D:/go/src/runtime/panic.go:88
2020/11/05 20:04:50.572 [C] [panic.go:969]  D:/GoWorks/FamilyDiary/models/permission.go:213
2020/11/05 20:04:50.573 [C] [panic.go:969]  D:/GoWorks/FamilyDiary/models/permission.go:194
2020/11/05 20:04:50.573 [C] [panic.go:969]  D:/GoWorks/FamilyDiary/models/permission.go:176
2020/11/05 20:04:50.587 [C] [panic.go:969]  D:/GoWorks/FamilyDiary/controllers/permission.go:129
2020/11/05 20:04:50.588 [C] [panic.go:969]  D:/go/src/reflect/value.go:475
2020/11/05 20:04:50.589 [C] [panic.go:969]  D:/go/src/reflect/value.go:336
2020/11/05 20:04:50.603 [C] [panic.go:969]  D:/GoWorks/src/github.com/astaxie/beego/router.go:897
2020/11/05 20:04:50.604 [C] [panic.go:969]  D:/go/src/net/http/server.go:2843
2020/11/05 20:04:50.604 [C] [panic.go:969]  D:/go/src/net/http/server.go:1925
2020/11/05 20:04:50.604 [C] [panic.go:969]  D:/go/src/runtime/asm_amd64.s:1374
2020/11/05 20:04:57.886 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 20:04:57.889 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 20:04:57.895 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 20:04:57.896 [D] [storage.go:51]  ---- 开始获取配置文件信息redis信息 ----
2020/11/05 20:04:57.896 [D] [storage.go:51]  ---- host:192.168.189.128,port:6379,pwd:redis@wcj,maxIdle:10,maxActive:100 ----
2020/11/05 20:04:58.047 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 20:04:58.048 [D] [permission.go:163]  ---- 开始获取数据库连接 ----
2020/11/05 20:04:58.049 [D] [storage.go:123]  ---- 开始获取配置文件中DB信息 ----
2020/11/05 20:04:58.054 [D] [storage.go:123]  user:root,password:520wcj,dbname:family_diary,maxIdle:10,maxConn:30
2020/11/05 20:04:58.071 [D] [permission.go:194]  ===== 开始检查 =====
2020/11/05 20:04:58.077 [D] [permission.go:194]  ===== 检查结束 =====
2020/11/05 20:04:58.078 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|   191.4898ms|   match|[44m GET     [0m /get/permissionsTree   r:/get/permissionsTree
2020/11/05 20:11:40.193 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 20:11:40.194 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 20:11:40.194 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 20:11:40.194 [D] [storage.go:51]  ---- 开始获取配置文件信息redis信息 ----
2020/11/05 20:11:40.194 [D] [storage.go:51]  ---- host:192.168.189.128,port:6379,pwd:redis@wcj,maxIdle:10,maxActive:100 ----
2020/11/05 20:11:40.348 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 20:11:40.348 [D] [permission.go:163]  ---- 开始获取数据库连接 ----
2020/11/05 20:11:40.349 [D] [storage.go:123]  ---- 开始获取配置文件中DB信息 ----
2020/11/05 20:11:40.349 [D] [storage.go:123]  user:root,password:520wcj,dbname:family_diary,maxIdle:10,maxConn:30
2020/11/05 20:11:40.368 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|   175.6044ms|   match|[44m GET     [0m /get/permissionsTree   r:/get/permissionsTree
2020/11/05 20:12:00.079 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 20:12:00.080 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 20:12:00.080 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 20:12:00.081 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 20:12:00.088 [D] [permission.go:107]  ---- 开始获取数据库连接 ----
2020/11/05 20:12:00.091 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|    11.9688ms|   match|[44m GET     [0m /get/permission   r:/get/permission
2020/11/05 20:12:04.745 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 20:12:04.746 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 20:12:04.747 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 20:12:04.753 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 20:12:04.754 [D] [permission.go:163]  ---- 开始获取数据库连接 ----
2020/11/05 20:12:04.759 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|    13.9621ms|   match|[44m GET     [0m /get/permissionsTree   r:/get/permissionsTree
2020/11/05 20:12:29.253 [C] [asm_amd64.s:1374]  ListenAndServe:  http: Server closed 4920
